127.0.0.1 - - [24/Nov/2015:01:26:09 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:35:30 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:35:30 -0500] "GET /MediaStoreGroupProj/faces/car.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:38:12 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:38:12 -0500] "GET /MediaStoreGroupProj/faces/car.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:38:12 -0500] "GET /MediaStoreGroupProj/faces/style.css HTTP/1.1" 200 9325
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:39:28 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:39:28 -0500] "GET /MediaStoreGroupProj/faces/car.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:39:28 -0500] "GET /MediaStoreGroupProj/faces/style.css HTTP/1.1" 200 9325
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:40:54 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:40:54 -0500] "GET /MediaStoreGroupProj/faces/car.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:47:29 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:47:29 -0500] "GET /MediaStoreGroupProj/faces/car.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:47:33 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:47:33 -0500] "GET /MediaStoreGroupProj/faces/car.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Nov/2015:01:47:33 -0500] "GET /MediaStoreGroupProj/faces/style.css HTTP/1.1" 200 9197
