127.0.0.1 - - [04/Dec/2015:14:11:43 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Dec/2015:14:11:46 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [04/Dec/2015:14:11:47 -0500] "GET /MediaStoreGroupProj/faces/style.css HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [04/Dec/2015:14:11:47 -0500] "GET /MediaStoreGroupProj/faces/music.jpg HTTP/1.1" 200 57669
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:01 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:04 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:04 -0500] "GET /MediaStoreGroupProj/faces/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:04 -0500] "GET /MediaStoreGroupProj/faces/music.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:06 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:06 -0500] "GET /MediaStoreGroupProj/faces/music.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:06 -0500] "GET /MediaStoreGroupProj/faces/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:09 -0500] "GET /MediaStoreGroupProj/faces/album.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:09 -0500] "GET /MediaStoreGroupProj/faces/indexHome.jsp HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:38 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:40 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:40 -0500] "GET /MediaStoreGroupProj/faces/music.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:40 -0500] "GET /MediaStoreGroupProj/faces/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:41 -0500] "GET /MediaStoreGroupProj/faces/album.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:42 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:42 -0500] "GET /MediaStoreGroupProj/faces/album.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:43 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:44 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:44 -0500] "GET /MediaStoreGroupProj/faces/album.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [04/Dec/2015:15:09:45 -0500] "GET /MediaStoreGroupProj/faces/IndexHome.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [04/Dec/2015:16:56:46 -0500] "GET /MediaStoreGroupProj/faces/album.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [04/Dec/2015:16:56:49 -0500] "GET /MediaStoreGroupProj/faces/contact.jsp HTTP/1.1" 404 1013
